Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
12/02/2020,02/01/2020,11/28/2020,AK,Anchorage Borough,2020,Medium metro,68,1751
12/02/2020,02/01/2020,11/28/2020,AK,Fairbanks North Star Borough,2090,Small metro,17,433
12/02/2020,02/01/2020,11/28/2020,AL,Autauga County,1001,Medium metro,33,423
12/02/2020,02/01/2020,11/28/2020,AL,Baldwin County,1003,Small metro,96,1858
12/02/2020,02/01/2020,11/28/2020,AL,Barbour County,1005,Noncore,16,229
12/02/2020,02/01/2020,11/28/2020,AL,Bibb County,1007,Large fringe metro,20,160
12/02/2020,02/01/2020,11/28/2020,AL,Blount County,1009,Large fringe metro,12,404
12/02/2020,02/01/2020,11/28/2020,AL,Butler County,1013,Noncore,27,191
12/02/2020,02/01/2020,11/28/2020,AL,Calhoun County,1015,Small metro,121,1327
12/02/2020,02/01/2020,11/28/2020,AL,Chambers County,1017,Micropolitan,11,313
12/02/2020,02/01/2020,11/28/2020,AL,Cherokee County,1019,Noncore,10,253
12/02/2020,02/01/2020,11/28/2020,AL,Chilton County,1021,Large fringe metro,19,339
12/02/2020,02/01/2020,11/28/2020,AL,Choctaw County,1023,Noncore,10,98
12/02/2020,02/01/2020,11/28/2020,AL,Clay County,1027,Noncore,31,160
12/02/2020,02/01/2020,11/28/2020,AL,Coffee County,1031,Micropolitan,18,443
12/02/2020,02/01/2020,11/28/2020,AL,Colbert County,1033,Small metro,53,543
12/02/2020,02/01/2020,11/28/2020,AL,Covington County,1039,Noncore,58,481
12/02/2020,02/01/2020,11/28/2020,AL,Crenshaw County,1041,Noncore,26,164
12/02/2020,02/01/2020,11/28/2020,AL,Cullman County,1043,Micropolitan,59,914
12/02/2020,02/01/2020,11/28/2020,AL,Dale County,1045,Micropolitan,53,393
12/02/2020,02/01/2020,11/28/2020,AL,Dallas County,1047,Micropolitan,50,402
12/02/2020,02/01/2020,11/28/2020,AL,DeKalb County,1049,Noncore,38,600
12/02/2020,02/01/2020,11/28/2020,AL,Elmore County,1051,Medium metro,37,563
12/02/2020,02/01/2020,11/28/2020,AL,Escambia County,1053,Noncore,22,320
12/02/2020,02/01/2020,11/28/2020,AL,Etowah County,1055,Small metro,157,1394
12/02/2020,02/01/2020,11/28/2020,AL,Franklin County,1059,Noncore,14,254
12/02/2020,02/01/2020,11/28/2020,AL,Geneva County,1061,Small metro,17,284
12/02/2020,02/01/2020,11/28/2020,AL,Houston County,1069,Small metro,298,1745
12/02/2020,02/01/2020,11/28/2020,AL,Jackson County,1071,Micropolitan,22,540
12/02/2020,02/01/2020,11/28/2020,AL,Jefferson County,1073,Large central metro,769,8500
12/02/2020,02/01/2020,11/28/2020,AL,Lauderdale County,1077,Small metro,96,1239
12/02/2020,02/01/2020,11/28/2020,AL,Lee County,1081,Small metro,163,1103
12/02/2020,02/01/2020,11/28/2020,AL,Limestone County,1083,Medium metro,47,699
12/02/2020,02/01/2020,11/28/2020,AL,Madison County,1089,Medium metro,198,3555
12/02/2020,02/01/2020,11/28/2020,AL,Marengo County,1091,Noncore,17,206
12/02/2020,02/01/2020,11/28/2020,AL,Marion County,1093,Noncore,27,329
12/02/2020,02/01/2020,11/28/2020,AL,Marshall County,1095,Micropolitan,67,1015
12/02/2020,02/01/2020,11/28/2020,AL,Mobile County,1097,Medium metro,491,4605
12/02/2020,02/01/2020,11/28/2020,AL,Montgomery County,1101,Medium metro,394,2727
12/02/2020,02/01/2020,11/28/2020,AL,Morgan County,1103,Small metro,78,1169
12/02/2020,02/01/2020,11/28/2020,AL,Pike County,1109,Micropolitan,17,249
12/02/2020,02/01/2020,11/28/2020,AL,Randolph County,1111,Noncore,12,179
12/02/2020,02/01/2020,11/28/2020,AL,Russell County,1113,Medium metro,16,333
12/02/2020,02/01/2020,11/28/2020,AL,St. Clair County,1115,Large fringe metro,47,674
12/02/2020,02/01/2020,11/28/2020,AL,Shelby County,1117,Large fringe metro,99,1260
12/02/2020,02/01/2020,11/28/2020,AL,Talladega County,1121,Micropolitan,45,754
12/02/2020,02/01/2020,11/28/2020,AL,Tallapoosa County,1123,Noncore,74,466
12/02/2020,02/01/2020,11/28/2020,AL,Tuscaloosa County,1125,Small metro,274,2040
12/02/2020,02/01/2020,11/28/2020,AL,Walker County,1127,Large fringe metro,80,872
12/02/2020,02/01/2020,11/28/2020,AL,Washington County,1129,Noncore,10,107
12/02/2020,02/01/2020,11/28/2020,AL,Winston County,1133,Noncore,11,237
12/02/2020,02/01/2020,11/28/2020,AR,Baxter County,5005,Micropolitan,60,796
12/02/2020,02/01/2020,11/28/2020,AR,Benton County,5007,Medium metro,199,1683
12/02/2020,02/01/2020,11/28/2020,AR,Boone County,5009,Micropolitan,37,378
12/02/2020,02/01/2020,11/28/2020,AR,Carroll County,5015,Noncore,11,181
12/02/2020,02/01/2020,11/28/2020,AR,Chicot County,5017,Noncore,14,93
12/02/2020,02/01/2020,11/28/2020,AR,Clark County,5019,Micropolitan,13,196
12/02/2020,02/01/2020,11/28/2020,AR,Clay County,5021,Noncore,13,153
12/02/2020,02/01/2020,11/28/2020,AR,Columbia County,5027,Micropolitan,22,236
12/02/2020,02/01/2020,11/28/2020,AR,Craighead County,5031,Small metro,250,1889
12/02/2020,02/01/2020,11/28/2020,AR,Crawford County,5033,Medium metro,10,385
12/02/2020,02/01/2020,11/28/2020,AR,Crittenden County,5035,Large fringe metro,24,311
12/02/2020,02/01/2020,11/28/2020,AR,Dallas County,5039,Noncore,10,71
12/02/2020,02/01/2020,11/28/2020,AR,Faulkner County,5045,Medium metro,75,926
12/02/2020,02/01/2020,11/28/2020,AR,Fulton County,5049,Noncore,13,137
12/02/2020,02/01/2020,11/28/2020,AR,Garland County,5051,Small metro,149,1566
12/02/2020,02/01/2020,11/28/2020,AR,Greene County,5055,Micropolitan,11,327
12/02/2020,02/01/2020,11/28/2020,AR,Hot Spring County,5059,Micropolitan,10,249
12/02/2020,02/01/2020,11/28/2020,AR,Howard County,5061,Noncore,11,127
12/02/2020,02/01/2020,11/28/2020,AR,Independence County,5063,Micropolitan,79,482
12/02/2020,02/01/2020,11/28/2020,AR,Jefferson County,5069,Small metro,109,831
12/02/2020,02/01/2020,11/28/2020,AR,Lawrence County,5075,Noncore,16,139
12/02/2020,02/01/2020,11/28/2020,AR,Little River County,5081,Small metro,26,132
12/02/2020,02/01/2020,11/28/2020,AR,Lonoke County,5085,Medium metro,24,402
12/02/2020,02/01/2020,11/28/2020,AR,Mississippi County,5093,Micropolitan,24,326
12/02/2020,02/01/2020,11/28/2020,AR,Newton County,5101,Micropolitan,13,85
12/02/2020,02/01/2020,11/28/2020,AR,Ouachita County,5103,Micropolitan,10,247
12/02/2020,02/01/2020,11/28/2020,AR,Poinsett County,5111,Small metro,11,147
12/02/2020,02/01/2020,11/28/2020,AR,Polk County,5113,Noncore,23,176
12/02/2020,02/01/2020,11/28/2020,AR,Pope County,5115,Micropolitan,28,567
12/02/2020,02/01/2020,11/28/2020,AR,Pulaski County,5119,Medium metro,428,5560
12/02/2020,02/01/2020,11/28/2020,AR,Randolph County,5121,Noncore,16,142
12/02/2020,02/01/2020,11/28/2020,AR,Saline County,5125,Medium metro,47,794
12/02/2020,02/01/2020,11/28/2020,AR,Sebastian County,5131,Medium metro,184,2006
12/02/2020,02/01/2020,11/28/2020,AR,Stone County,5137,Noncore,15,140
12/02/2020,02/01/2020,11/28/2020,AR,Union County,5139,Micropolitan,58,486
12/02/2020,02/01/2020,11/28/2020,AR,Washington County,5143,Medium metro,224,2073
12/02/2020,02/01/2020,11/28/2020,AR,White County,5145,Micropolitan,65,828
12/02/2020,02/01/2020,11/28/2020,AZ,Apache County,4001,Noncore,44,463
12/02/2020,02/01/2020,11/28/2020,AZ,Cochise County,4003,Small metro,35,925
12/02/2020,02/01/2020,11/28/2020,AZ,Coconino County,4005,Small metro,141,1062
12/02/2020,02/01/2020,11/28/2020,AZ,Gila County,4007,Micropolitan,44,613
12/02/2020,02/01/2020,11/28/2020,AZ,Graham County,4009,Micropolitan,26,254
12/02/2020,02/01/2020,11/28/2020,AZ,Maricopa County,4013,Large central metro,3850,35787
12/02/2020,02/01/2020,11/28/2020,AZ,Mohave County,4015,Small metro,212,2977
12/02/2020,02/01/2020,11/28/2020,AZ,Navajo County,4017,Micropolitan,75,922
